Year,State,Municipality,Type,Homicides
1990,Aguascalientes,Aguascalientes,state,43
1990,Aguascalientes,Aguascalientes,municipality,33
1990,Aguascalientes,Asientos,municipality, 
1990,Aguascalientes,Calvillo,municipality,5
1990,Aguascalientes,Cosío,municipality, 
1990,Aguascalientes,Jesús María,municipality,2
1990,Aguascalientes,Pabellón de Arteaga,municipality,1
1990,Aguascalientes,Rincón de Romos,municipality,1
1990,Aguascalientes,San José de Gracia,municipality, 
1990,Aguascalientes,Tepezalá,municipality, 
1990,Aguascalientes,El Llano,municipality, 
1990,Aguascalientes,San Francisco de los Romo,municipality, 
1990,Aguascalientes,No especificado,municipality,1
1990,Baja California,Baja California,state,260
1990,Baja California,Ensenada,municipality,41
1990,Baja California,Mexicali,municipality,82
1990,Baja California,Tecate,municipality,13
1990,Baja California,Tijuana,municipality,124
1990,Baja California,Playas de Rosarito,municipality, 
1990,Baja California,San Quintín,municipality, 
1990,Baja California,San Felipe,municipality, 
1990,Baja California,No especificado,municipality, 
1990,Baja California Sur,Baja California Sur,state,12
1990,Baja California Sur,Comondú,municipality,2
1990,Baja California Sur,Mulegé,municipality,1
1990,Baja California Sur,La Paz,municipality,4
1990,Baja California Sur,Los Cabos,municipality,5
1990,Baja California Sur,Loreto,municipality, 
1990,Baja California Sur,No especificado,municipality, 
1990,Campeche,Campeche,state,82
1990,Campeche,Calkiní,municipality,1
1990,Campeche,Campeche,municipality,15
1990,Campeche,Carmen,municipality,45
1990,Campeche,Champotón,municipality,17
1990,Campeche,Hecelchakán,municipality,1
1990,Campeche,Hopelchén,municipality, 
1990,Campeche,Palizada,municipality,2
1990,Campeche,Tenabo,municipality,1
1990,Campeche,Escárcega,municipality, 
1990,Campeche,Calakmul,municipality, 
1990,Campeche,Candelaria,municipality, 
1990,Campeche,Seybaplaya,municipality, 
1990,Campeche,Dzitbalché,municipality, 
1990,Campeche,No especificado,municipality, 
1990,Coahuila de Zaragoza,Coahuila de Zaragoza,state,182
1990,Coahuila de Zaragoza,Abasolo,municipality, 
1990,Coahuila de Zaragoza,Acuña,municipality,7
1990,Coahuila de Zaragoza,Allende,municipality, 
1990,Coahuila de Zaragoza,Arteaga,municipality, 
1990,Coahuila de Zaragoza,Candela,municipality, 
1990,Coahuila de Zaragoza,Castaños,municipality, 
1990,Coahuila de Zaragoza,Cuatro Ciénegas,municipality, 
1990,Coahuila de Zaragoza,Escobedo,municipality, 
1990,Coahuila de Zaragoza,Francisco I,municipality,1
1990,Coahuila de Zaragoza,Frontera,municipality,6
1990,Coahuila de Zaragoza,General Cepeda,municipality,6
1990,Coahuila de Zaragoza,Guerrero,municipality,2
1990,Coahuila de Zaragoza,Hidalgo,municipality, 
1990,Coahuila de Zaragoza,Jiménez,municipality,1
1990,Coahuila de Zaragoza,Juárez,municipality, 
1990,Coahuila de Zaragoza,Lamadrid,municipality, 
1990,Coahuila de Zaragoza,Matamoros,municipality,33
1990,Coahuila de Zaragoza,Monclova,municipality,15
1990,Coahuila de Zaragoza,Morelos,municipality, 
1990,Coahuila de Zaragoza,Múzquiz,municipality,10
1990,Coahuila de Zaragoza,Nadadores,municipality, 
1990,Coahuila de Zaragoza,Nava,municipality, 
1990,Coahuila de Zaragoza,Ocampo,municipality,1
1990,Coahuila de Zaragoza,Parras,municipality,3
1990,Coahuila de Zaragoza,Piedras Negras,municipality,4
1990,Coahuila de Zaragoza,Progreso,municipality, 
1990,Coahuila de Zaragoza,Ramos Arizpe,municipality, 
1990,Coahuila de Zaragoza,Sabinas,municipality, 
1990,Coahuila de Zaragoza,Sacramento,municipality, 
1990,Coahuila de Zaragoza,Saltillo,municipality,25
1990,Coahuila de Zaragoza,San Buenaventura,municipality,2
1990,Coahuila de Zaragoza,San Juan de Sabinas,municipality, 
1990,Coahuila de Zaragoza,San Pedro,municipality,18
1990,Coahuila de Zaragoza,Sierra Mojada,municipality, 
1990,Coahuila de Zaragoza,Torreón,municipality,45
1990,Coahuila de Zaragoza,Viesca,municipality,2
1990,Coahuila de Zaragoza,Villa Unión,municipality, 
1990,Coahuila de Zaragoza,Zaragoza,municipality,1
1990,Coahuila de Zaragoza,No especificado,municipality, 
1990,Colima,Colima,state,78
1990,Colima,Armería,municipality,4
1990,Colima,Colima,municipality,22
1990,Colima,Comala,municipality, 
1990,Colima,Coquimatlán,municipality,2
1990,Colima,Cuauhtémoc,municipality, 
1990,Colima,Ixtlahuacán,municipality, 
1990,Colima,Manzanillo,municipality,22
1990,Colima,Minatitlán,municipality,1
1990,Colima,Tecomán,municipality,24
1990,Colima,Villa de Álvarez,municipality,3
1990,Colima,No especificado,municipality, 
1990,Chiapas,Chiapas,state,272
1990,Chiapas,Acacoyagua,municipality,1
1990,Chiapas,Acala,municipality, 
1990,Chiapas,Acapetahua,municipality,6
1990,Chiapas,Altamirano,municipality,3
1990,Chiapas,Amatán,municipality,3
1990,Chiapas,Amatenango de la Frontera,municipality,4
1990,Chiapas,Amatenango del Valle,municipality,2
1990,Chiapas,Angel Albino Corzo,municipality, 
1990,Chiapas,Arriaga,municipality,1
1990,Chiapas,Bejucal de Ocampo,municipality, 
1990,Chiapas,Bella Vista,municipality,3
1990,Chiapas,Berriozábal,municipality,3
1990,Chiapas,Bochil,municipality, 
1990,Chiapas,El Bosque,municipality,2
1990,Chiapas,Cacahoatán,municipality, 
1990,Chiapas,Catazajá,municipality,2
1990,Chiapas,Cintalapa,municipality,10
1990,Chiapas,Coapilla,municipality, 
1990,Chiapas,Comitán de Domínguez,municipality,10
1990,Chiapas,La Concordia,municipality, 
1990,Chiapas,Copainalá,municipality, 
1990,Chiapas,Chalchihuitán,municipality,1
1990,Chiapas,Chamula,municipality,2
1990,Chiapas,Chanal,municipality, 
1990,Chiapas,Chapultenango,municipality, 
1990,Chiapas,Chenalhó,municipality,1
1990,Chiapas,Chiapa de Corzo,municipality,5
1990,Chiapas,Chiapilla,municipality, 
1990,Chiapas,Chicoasén,municipality, 
1990,Chiapas,Chicomuselo,municipality,4
1990,Chiapas,Chilón,municipality,3
1990,Chiapas,Escuintla,municipality,15
1990,Chiapas,Francisco León,municipality, 
1990,Chiapas,Frontera Comalapa,municipality,8
1990,Chiapas,Frontera Hidalgo,municipality, 
1990,Chiapas,La Grandeza,municipality, 
1990,Chiapas,Huehuetán,municipality, 
1990,Chiapas,Huixtán,municipality, 
1990,Chiapas,Huitiupán,municipality,5
1990,Chiapas,Huixtla,municipality,10
1990,Chiapas,La Independencia,municipality,2
1990,Chiapas,Ixhuatán,municipality, 
1990,Chiapas,Ixtacomitán,municipality,1
1990,Chiapas,Ixtapa,municipality,1
1990,Chiapas,Ixtapangajoya,municipality, 
1990,Chiapas,Jiquipilas,municipality,3
1990,Chiapas,Jitotol,municipality, 
1990,Chiapas,Juárez,municipality,1
1990,Chiapas,Larráinzar,municipality, 
1990,Chiapas,La Libertad,municipality, 
1990,Chiapas,Mapastepec,municipality,3
1990,Chiapas,Las Margaritas,municipality,3
1990,Chiapas,Mazapa de Madero,municipality, 
1990,Chiapas,Mazatán,municipality, 
1990,Chiapas,Metapa,municipality, 
1990,Chiapas,Mitontic,municipality,2
1990,Chiapas,Motozintla,municipality,3
1990,Chiapas,Nicolás Ruíz,municipality,1
1990,Chiapas,Ocosingo,municipality,2
1990,Chiapas,Ocotepec,municipality,1
1990,Chiapas,Ocozocoautla de Espinosa,municipality,4
1990,Chiapas,Ostuacán,municipality,1
1990,Chiapas,Osumacinta,municipality, 
1990,Chiapas,Oxchuc,municipality,1
1990,Chiapas,Palenque,municipality,2
1990,Chiapas,Pantelhó,municipality, 
1990,Chiapas,Pantepec,municipality, 
1990,Chiapas,Pichucalco,municipality,2
1990,Chiapas,Pijijiapan,municipality,1
1990,Chiapas,El Porvenir,municipality, 
1990,Chiapas,Villa Comaltitlán,municipality,5
1990,Chiapas,Pueblo Nuevo Solistahuacán,municipality,7
1990,Chiapas,Rayón,municipality, 
1990,Chiapas,Reforma,municipality,2
1990,Chiapas,Las Rosas,municipality,1
1990,Chiapas,Sabanilla,municipality, 
1990,Chiapas,Salto de Agua,municipality,4
1990,Chiapas,San Cristóbal de las Casas,municipality,17
1990,Chiapas,San Fernando,municipality,2
1990,Chiapas,Siltepec,municipality,5
1990,Chiapas,Simojovel,municipality,5
1990,Chiapas,Sitalá,municipality, 
1990,Chiapas,Socoltenango,municipality,1
1990,Chiapas,Solosuchiapa,municipality, 
1990,Chiapas,Soyaló,municipality, 
1990,Chiapas,Suchiapa,municipality,3
1990,Chiapas,Suchiate,municipality, 
1990,Chiapas,Sunuapa,municipality, 
1990,Chiapas,Tapachula,municipality,10
1990,Chiapas,Tapalapa,municipality,3
1990,Chiapas,Tapilula,municipality, 
1990,Chiapas,Tecpatán,municipality,6
1990,Chiapas,Tenejapa,municipality,1
1990,Chiapas,Teopisca,municipality, 
1990,Chiapas,Tila,municipality, 
1990,Chiapas,Tonalá,municipality,8
1990,Chiapas,Totolapa,municipality, 
1990,Chiapas,La Trinitaria,municipality, 
1990,Chiapas,Tumbalá,municipality,1
1990,Chiapas,Tuxtla Gutiérrez,municipality,29
1990,Chiapas,Tuxtla Chico,municipality,1
1990,Chiapas,Tuzantán,municipality,1
1990,Chiapas,Tzimol,municipality,2
1990,Chiapas,Unión Juárez,municipality,1
1990,Chiapas,Venustiano Carranza,municipality,6
1990,Chiapas,Villa Corzo,municipality, 
1990,Chiapas,Villaflores,municipality,10
1990,Chiapas,Yajalón,municipality,1
1990,Chiapas,San Lucas,municipality, 
1990,Chiapas,Zinacantán,municipality, 
1990,Chiapas,San Juan Cancuc,municipality, 
1990,Chiapas,Aldama,municipality, 
1990,Chiapas,Benemérito de las Américas,municipality, 
1990,Chiapas,Maravilla Tenejapa,municipality, 
1990,Chiapas,Marqués de Comillas,municipality, 
1990,Chiapas,Montecristo de Guerrero,municipality, 
1990,Chiapas,San Andrés Duraznal,municipality, 
1990,Chiapas,Santiago el Pinar,municipality, 
1990,Chiapas,Capitán Luis Ángel Vidal,municipality, 
1990,Chiapas,Rincón Chamula San Pedro,municipality, 
1990,Chiapas,El Parral,municipality, 
1990,Chiapas,Emiliano Zapata,municipality, 
1990,Chiapas,Mezcalapa,municipality, 
